Gdzie;Data;Miejsce;Nazwa turnieju
Zb•szy‰;24-27.05.2018;VII;Obà©dna Plaæa
Kozienice;02-03.06.2018;II;VI og¢lnopolski turniej siatk¢wki plaæowej kobiet - eliminacje do Mistrzost Polski Kozienice 2018
Toru‰;14-16.06.2018;VII;Plaæa Gotyku
D•browa G¢rnicza;28.06-01.07.2018;IX;Plaæa Open
ù¢d´;12-15.07.2018;VII;Plaæa Open
Rybnik;19-22.07.2018;IX;Plaæa Open
Biaàystok;26-29.07.2018;V;Plaæa Open
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
